"","SICto","SICfrom","value"
"1113","62","10.5",20.50956997
"1114","63","10.5",3.012805165
"1115","64","10.5",119.2377279
"1116","65.1-3","10.5",3.824088102
"1117","66","10.5",3.708962729
"1118","68.1-2","10.5",3.169525107
"1120","69.1","10.5",6.70232679
"1121","69.2","10.5",8.61235689
"1122","70","10.5",3.048357881
"1123","71","10.5",18.01363754
"1124","72","10.5",5.756477377
"1125","73","10.5",34.21894801
"1126","74","10.5",4.792296691
"1128","77","10.5",32.22665599
"1129","78","10.5",44.99645527
"1130","79","10.5",4.828055117
"1133","82","10.5",7.514719558
"1134","84","10.5",2.045500697
"1135","85","10.5",4.900270378
"1136","86","10.5",0.929532091
"1145","1","10.6",815.4714077
"1148","5","10.6",1.07731353
"1152","10.1","10.6",18.2394779
"1153","10.2-3","10.6",66.83507146
"1154","10.4","10.6",6.189722973
"1155","10.5","10.6",13.32502537
"1156","10.6","10.6",506.8479907
"1157","10.7","10.6",2.607212734
"1158","10.8","10.6",234.2066893
"1159","10.9","10.6",1.576816057
"1160","11.01-6","10.6",6.156608147
"1166","16","10.6",1.101240887
"1167","17","10.6",350.3066688
"1168","18","10.6",0.531493832
"1169","19","10.6",20.78117387
"1170","20A","10.6",3.617955227
"1171","20B","10.6",2.614672403
"1172","20C","10.6",0.122120096
"1174","20.4","10.6",0.50445037
"1175","20.5","10.6",1.018883833
"1176","21","10.6",3.398701775
"1177","22","10.6",31.14111853
"1178","23OTHER","10.6",0.960755414
"1180","24.1-3","10.6",0.992604614
"1181","24.4-5","10.6",0.598763696
"1182","25OTHER","10.6",6.966515149
"1186","28","10.6",0.19880846
"1187","29","10.6",1.69259807
"1191","31","10.6",1.015695582
"1192","32","10.6",5.73211091
"1195","33OTHER","10.6",9.425126938
"1196","35.1","10.6",84.11393036
"1197","35.2-3","10.6",72.38851682
"1198","36","10.6",7.06523039
"1199","37","10.6",0.838388817
"1200","38","10.6",2.020112851
"1202","41-43","10.6",20.26158053
"1203","45","10.6",16.79809182
"1204","46","10.6",250.0013565
"1206","49.1-2","10.6",1.698112756
"1207","49.3-5","10.6",208.5114001
"1208","50","10.6",1.030081715
"1209","51","10.6",0.982553683
"1210","52","10.6",11.46176754
"1211","53","10.6",22.3936605
"1213","56","10.6",5.824568981
"1214","58","10.6",7.713857574
"1216","61","10.6",6.867118618
"1217","62","10.6",17.49433017
"1218","63","10.6",1.267581369
"1219","64","10.6",107.8247787
"1220","65.1-3","10.6",0.813118919
"1221","66","10.6",3.9919038
"1222","68.1-2","10.6",5.116590781
"1224","69.1","10.6",8.031777537
"1225","69.2","10.6",10.7765149
"1226","70","10.6",7.395354617
"1227","71","10.6",25.48637504
"1228","72","10.6",6.05685517
"1229","73","10.6",223.6738747
"1230","74","10.6",2.904748908
"1232","77","10.6",12.4216093
"1233","78","10.6",21.54637872
"1234","79","10.6",3.982993091
"1237","82","10.6",4.767352068
"1238","84","10.6",13.59193847
"1239","85","10.6",5.787745792
"1240","86","10.6",0.983832228
"1245","93","10.6",1.407020966
"1249","1","10.7",157.7857774
"1252","5","10.7",0.1017841
"1256","10.1","10.7",132.1924009
"1257","10.2-3","10.7",199.0097864
"1258","10.4","10.7",32.79745124
"1259","10.5","10.7",222.3373557
"1260","10.6","10.7",747.2290427
"1261","10.7","10.7",54.41412208
"1262","10.8","10.7",463.9960847
"1263","10.9","10.7",2.999133625
"1270","16","10.7",2.543929396
"1271","17","10.7",189.8809884
"1272","18","10.7",3.139972098
"1273","19","10.7",26.28126578
"1274","20A","10.7",0.967666668
"1275","20B","10.7",4.931820639
"1278","20.4","10.7",14.93784919
"1281","22","10.7",173.1623141
"1282","23OTHER","10.7",0.49507797
"1286","25OTHER","10.7",71.95543805
"1288","26","10.7",1.010653489
"1289","27","10.7",1.016432818
"1290","28","10.7",1.020497483
"1291","29","10.7",1.020497483
"1295","31","10.7",4.052369299
"1296","32","10.7",6.053816604
"1299","33OTHER","10.7",36.44172888
"1300","35.1","10.7",117.4551123
"1301","35.2-3","10.7",117.887111
"1302","36","10.7",16.05573751
"1303","37","10.7",4.454150021
"1304","38","10.7",8.102746494
"1306","41-43","10.7",56.61856124
"1307","45","10.7",78.75901363
"1308","46","10.7",201.9360405
"1310","49.1-2","10.7",1.020408832
"1311","49.3-5","10.7",211.1098711
"1312","50","10.7",0.101419662
"1314","52","10.7",14.18493437
"1315","53","10.7",9.041750569
"1317","56","10.7",8.289665581
"1318","58","10.7",7.117936245
"1320","61","10.7",10.33186529
"1321","62","10.7",33.59279935
"1322","63","10.7",4.389666951
"1323","64","10.7",215.8170633
"1324","65.1-3","10.7",8.952663292
"1325","66","10.7",4.038648506
"1326","68.1-2","10.7",17.11349383
"1328","69.1","10.7",10.806374
"1329","69.2","10.7",24.00581967
"1330","70","10.7",8.732834047
"1331","71","10.7",30.13840301
"1332","72","10.7",12.96133161
"1333","73","10.7",72.37649993
"1334","74","10.7",0.904537116
"1336","77","10.7",41.03160863
"1337","78","10.7",82.57597035
"1338","79","10.7",15.93918003
"1341","82","10.7",0.131060691
"1342","84","10.7",11.89548674
"1343","85","10.7",9.843495987
"1344","86","10.7",0.981486676
"1350","94","10.7",3.917895462
"1353","1","10.8",585.7481699
"1356","5","10.8",10.57058221
"1358","8","10.8",2.014679852
"1360","10.1","10.8",248.3308669
"1361","10.2-3","10.8",196.9028703
"1362","10.4","10.8",4.491191851
"1363","10.5","10.8",256.2744851
"1364","10.6","10.8",154.8376552
"1365","10.7","10.8",4.060421553
"1366","10.8","10.8",1222.661538
"1367","10.9","10.8",0.484648128
"1368","11.01-6","10.8",4.559009758
"1369","11.07","10.8",0.16
"1374","16","10.8",5.18613032
"1375","17","10.8",346.9867958
"1376","18","10.8",6.601577513
"1377","19","10.8",24.37585223
"1378","20A","10.8",0.279704036
"1379","20B","10.8",19.45464446
"1382","20.4","10.8",10.44116607
"1383","20.5","10.8",0.840467972
"1384","21","10.8",0.99026713
"1385","22","10.8",127.286747
"1386","23OTHER","10.8",76.05010478
"1387","23.5-6","10.8",3.790582786
"1388","24.1-3","10.8",0.929106707
"1389","24.4-5","10.8",0.226579359
"1390","25OTHER","10.8",169.8184794
"1392","26","10.8",1.045616575
"1393","27","10.8",0.130157168
"1394","28","10.8",1.460637588
"1395","29","10.8",1.042595956
"1399","31","10.8",3.243696963
"1400","32","10.8",10.84385642
"1403","33OTHER","10.8",51.82588362
"1404","35.1","10.8",150.7665932
"1405","35.2-3","10.8",268.8342639
"1406","36","10.8",37.10423297
"1407","37","10.8",5.793362698
"1408","38","10.8",24.32605109
"1410","41-43","10.8",86.87333875
"1411","45","10.8",84.49709612
"1412","46","10.8",399.5877733
"1414","49.1-2","10.8",0.91003154
"1415","49.3-5","10.8",137.0618944
